,1,1074563512248
1503,1696,1074566103073
1503,1697,1074566104576
1502,1698,1074566106078
1503,1699,1074566107581
1503,1700,1074566109084
1503,1701,1074566110587
1502,1702,1074566112089
1503,1703,1074566113592
1503,1704,1074566115095
1503,1705,1074566116598
1503,1706,1074566118101
1503,1707,1074566119604
1502,1708,1074566121106
1503,1709,1074566122609
1503,1710,1074566124112
1503,1711,1074566125615
1502,1712,1074566127117
3006,1713,1074566130123
1503,1714,1074566131626
1503,1715,1074566133129
1502,1716,1074566134631
1503,1717,1074566136134
1503,1718,1074566137637
1503,1719,1074566139140
1502,1720,1074566140642
1503,1721,1074566142145
1503,1722,1074566143648
1503,1723,1074566145151
1503,1724,1074566146654
1503,1725,1074566148157
1502,1726,1074566149659
1503,1727,1074566151162
1503,1728,1074566152665
1503,1729,1074566154168
1503,1730,1074566155671
1502,1731,1074566157173
1503,1732,1074566158676
1503,1733,1074566160179
1503,1734,1074566161682
1503,1735,1074566163185
1502,1736,1074566164687
1504,1737,1074566166191
1502,1738,1074566167693
1503,1739,1074566169196
1502,1740,1074566170698
1504,1741,1074566172202
1502,1742,1074566173704
1503,1743,1074566175207
1503,1744,1074566176710
1503,1745,1074566178213
1503,1746,1074566179716
1502,1747,1074566181218
1503,1748,1074566182721
1503,1749,1074566184224
1503,1750,1074566185727
1503,1751,1074566187230
1502,1752,1074566188732
1503,1753,1074566190235
1503,1754,1074566191738
1502,1755,1074566193240
1503,1756,1074566194743
1503,1757,1074566196246
1503,1758,1074566197749
1503,1759,1074566199252
1503,1760,1074566200755
1502,1761,1074566202257
1503,1762,1074566203760
1516,1763,1074566205276
1490,1764,1074566206766
1502,1765,1074566208268
1503,1766,1074566209771
1503,1767,1074566211274
1503,1768,1074566212777
1503,1769,1074566214280
1503,1770,1074566215783
1502,1771,1074566217285
1503,1772,1074566218788
1503,1773,1074566220291
1503,1774,1074566221794
1503,1775,1074566223297
1502,1776,1074566224799
1503,1777,1074566226302
1503,1778,1074566227805
1503,1779,1074566229308
1503,1780,1074566230811
1502,1781,1074566232313
1503,1782,1074566233816
1503,1783,1074566235319
1503,1784,1074566236822
1502,1785,1074566238324
1503,1786,1074566239827
1503,1787,1074566241330
1503,1788,1074566242833
1503,1789,1074566244336
1503,1790,1074566245839
1502,1791,1074566247341
1503,1792,1074566248844
1503,1793,1074566250347
1503,1794,1074566251850
1502,1795,1074566253352
1503,1796,1074566254855
1503,1797,1074566256358
1503,1798,1074566257861
1503,1799,1074566259364
1502,1800,1074566260866
1503,1801,1074566262369
1503,1802,1074566263872
1503,1803,1074566265375
1503,1804,1074566266878
1503,1805,1074566268381
1502,1806,1074566269883
1503,1807,1074566271386
1503,1808,1074566272889
1503,1809,1074566274392
1502,1810,1074566275894
1503,1811,1074566277397
1503,1812,1074566278900
1503,1813,1074566280403
1503,1814,1074566281906
1502,1815,1074566283408
1503,1816,1074566284911
1503,1817,1074566286414
1503,1818,1074566287917
1503,1819,1074566289420
1503,1820,1074566290923
1502,1821,1074566292425
1503,1822,1074566293928
1503,1823,1074566295431
1503,1824,1074566296934
1502,1825,1074566298436
1503,1826,1074566299939
1503,1827,1074566301442
1503,1828,1074566302945
1503,1829,1074566304448
1502,1830,1074566305950
1503,1831,1074566307453
1503,1832,1074566308956
1503,1833,1074566310459
1503,1834,1074566311962
1503,1835,1074566313465
1502,1836,1074566314967
1503,1837,1074566316470
1503,1838,1074566317973
1503,1839,1074566319476
1502,1840,1074566320978
1503,1841,1074566322481
1503,1842,1074566323984
1503,1843,1074566325487
1502,1844,1074566326989
1504,1845,1074566328493
1502,1846,1074566329995
3006,1847,1074566333001
1503,1848,1074566334504
1502,1849,1074566336006
1503,1850,1074566337509
1503,1851,1074566339012
1503,1852,1074566340515
1503,1853,1074566342018
1502,1854,1074566343520
1503,1855,1074566345023
1503,1856,1074566346526
1503,1857,1074566348029
1502,1858,1074566349531
1503,1859,1074566351034
1503,1860,1074566352537
1503,1861,1074566354040
1503,1862,1074566355543
1502,1863,1074566357045
1503,1864,1074566358548
1503,1865,1074566360051
1503,1866,1074566361554
1503,1867,1074566363057
1503,1868,1074566364560
1502,1869,1074566366062
1503,1870,1074566367565
1503,1871,1074566369068
1503,1872,1074566370571
1502,1873,1074566372073
1503,1874,1074566373576
1503,1875,1074566375079
1503,1876,1074566376582
1503,1877,1074566378085
1502,1878,1074566379587
1504,1879,1074566381091
1502,1880,1074566382593
1503,1881,1074566384096
1503,1882,1074566385599
1502,1883,1074566387101
1503,1884,1074566388604
1503,1885,1074566390107
1503,1886,1074566391610
1503,1887,1074566393113
1503,1888,1074566394616
1514,1889,1074566396130
1491,1890,1074566397621
1503,1891,1074566399124
1503,1892,1074566400627
1503,1893,1074566402130
1502,1894,1074566403632
1503,1895,1074566405135
1503,1896,1074566406638
1503,1897,1074566408141
1503,1898,1074566409644
1502,1899,1074566411146
1503,1900,1074566412649
1503,1901,1074566414152
1516,1902,1074566415668
1490,1903,1074566417158
1502,1904,1074566418660
1503,1905,1074566420163
1503,1906,1074566421666
1503,1907,1074566423169
1502,1908,1074566424671
1503,1909,1074566426174
1503,1910,1074566427677
1503,1911,1074566429180
1503,1912,1074566430683
1503,1913,1074566432186
1503,1914,1074566433689
1502,1915,1074566435191
1503,1916,1074566436694
1503,1917,1074566438197
1502,1918,1074566439699
1503,1919,1074566441202
1503,1920,1074566442705
1503,1921,1074566444208
1503,1922,1074566445711
1502,1923,1074566447213
1503,1924,1074566448716
1503,1925,1074566450219
1503,1926,1074566451722
1503,1927,1074566453225
1502,1928,1074566454727
1503,1929,1074566456230
1503,1930,1074566457733
1503,1931,1074566459236
1503,1932,1074566460739
1503,1933,1074566462242
1502,1934,1074566463744
1503,1935,1074566465247
1503,1936,1074566466750
1503,1937,1074566468253
1503,1938,1074566469756
1502,1939,1074566471258
1503,1940,1074566472761
1503,1941,1074566474264
1503,1942,1074566475767
1502,1943,1074566477269
1503,1944,1074566478772
1503,1945,1074566480275
1503,1946,1074566481778
1503,1947,1074566483281
1502,1948,1074566484783
1503,1949,1074566486286
1503,1950,1074566487789
1503,1951,1074566489292
1503,1952,1074566490795
1502,1953,1074566492297
1503,1954,1074566493800
1503,1955,1074566495303
1503,1956,1074566496806
1503,1957,1074566498309
1503,1958,1074566499812
1502,1959,1074566501314
1503,1960,1074566502817
1503,1961,1074566504320
1503,1962,1074566505823
1502,1963,1074566507325
1503,1964,1074566508828
1503,1965,1074566510331
1503,1966,1074566511834
1503,1967,1074566513337
1503,1968,1074566514840
1502,1969,1074566516342
1503,1970,1074566517845
1503,1971,1074566519348
1503,1972,1074566520851
1502,1973,1074566522353
1503,1974,1074566523856
1503,1975,1074566525359
1503,1976,1074566526862
1503,1977,1074566528365
1503,1978,1074566529868
1502,1979,1074566531370
1503,1980,1074566532873
1503,1981,1074566534376
1503,1982,1074566535879
1502,1983,1074566537381
1503,1984,1074566538884
1503,1985,1074566540387
1503,1986,1074566541890
1503,1987,1074566543393
1503,1988,1074566544896
1502,1989,1074566546398
1503,1990,1074566547901
1503,1991,1074566549404
1502,1992,1074566550906
1503,1993,1074566552409
1503,1994,1074566553912
1503,1995,1074566555415
1503,1996,1074566556918
1503,1997,1074566558421
1502,1998,1074566559923
1503,1999,1074566561426
1503,2000,1074566562929
1503,2001,1074566564432
1503,2002,1074566565935
1503,2003,1074566567438
1502,2004,1074566568940
1503,2005,1074566570443
1503,2006,1074566571946
1503,2007,1074566573449
1502,2008,1074566574951
1503,2009,1074566576454
1503,2010,1074566577957
1503,2011,1074566579460
1502,2012,1074566580962
1503,2013,1074566582465
1503,2014,1074566583968
1503,2015,1074566585471
1503,2016,1074566586974
1503,2017,1074566588477
1502,2018,1074566589979
1503,2019,1074566591482
1503,2020,1074566592985
1503,2021,1074566594488
1503,2022,1074566595991
1502,2023,1074566597493
1503,2024,1074566598996
1503,2025,1074566600499
1503,2026,1074566602002
1502,2027,1074566603504
1503,2028,1074566605007
1521,2029,1074566606528
1485,2030,1074566608013
1503,2031,1074566609516
1502,2032,1074566611018
1504,2033,1074566612522
1502,2034,1074566614024
1503,2035,1074566615527
1503,2036,1074566617030
1503,2037,1074566618533
1502,2038,1074566620035
1503,2039,1074566621538
1503,2040,1074566623041
1503,2041,1074566624544
1502,2042,1074566626046
1503,2043,1074566627549
1503,2044,1074566629052
1503,2045,1074566630555
1503,2046,1074566632058
1502,2047,1074566633560
1503,2048,1074566635063
3006,2049,1074566638069
1503,2050,1074566639572
1502,2051,1074566641074
1503,2052,1074566642577
1503,2053,1074566644080
1503,2054,1074566645583
1503,2055,1074566647086
1502,2056,1074566648588
1503,2057,1074566650091
1503,2058,1074566651594
1503,2059,1074566653097
1503,2060,1074566654600
1503,2061,1074566656103
1503,2062,1074566657606
1502,2063,1074566659108
1503,2064,1074566660611
1503,2065,1074566662114
1502,2066,1074566663616
1503,2067,1074566665119
1503,2068,1074566666622
1503,2069,1074566668125
1503,2070,1074566669628
1502,2071,1074566671130
1503,2072,1074566672633
1503,2073,1074566674136
1503,2074,1074566675639
1503,2075,1074566677142
1503,2076,1074566678645
1502,2077,1074566680147
1503,2078,1074566681650
1503,2079,1074566683153
